market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37997220,5. Native Blue,LOSER,13.00,2700.4500000000003 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,3592902,6. Smiling Assassin,LOSER,5.67,7162.890000000004 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37792434,7. Regal Triumph,LOSER,6.20,7707.909999999998 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,15921791,8. Verses,REMOVED,,0 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37546944,9. Go Boo Boo,WINNER,6.74,13871.500000000005 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,27912286,10. Lady Jeune,LOSER,38.00,582.0200000000002 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,36749652,11. Ngaire,LOSER,49.28,897.48 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,992699,12. Perfect Balance,LOSER,31.25,794.7599999999998 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37997221,13. Rough Beauty,LOSER,10.45,5067.84 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37997222,14. Cuzzen,LOSER,48.10,660.0 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,21300106,1. Capito,LOSER,11.00,2703.2799999999997 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,27223439,2. Divided Loyalty,REMOVED,,0 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,37995194,3. Warlist,WINNER,10.50,5047.339999999999 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,37995195,4. Angelic Amour,LOSER,9.44,3562.9199999999996 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,37585216,5. Girramay,LOSER,6.73,4563.5599999999995 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,35421606,6. Metung Marvin,LOSER,29.31,1159.2200000000003 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,37995196,7. Mystery Bad Guy,LOSER,8.76,4346.899999999999 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,37995197,8. Russian Rhapsody,LOSER,180.00,227.98000000000005 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,27838671,9. The Nella Maris,LOSER,98.76,587.37 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,1089766,10. Whirlwind Romance,LOSER,14.64,2509.9000000000024 
1.177442882,2021-01-01 02:31:00,AU,Mornington,R1 1500m Mdn,5407112,11. Glint,LOSER,2.86,34422.640000000014 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995834,1. Dr Schultz,LOSER,12.02,3274.12 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,27551207,2. Jousting,LOSER,4.91,13918.239999999998 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,19873914,3. Nero To Hero,LOSER,8.09,4813.18 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,4618285,4. Revelry,LOSER,120.00,241.02000000000004 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,25910709,5. Stephens Green,LOSER,119.83,198.78 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995835,6. Trust But Verify,LOSER,138.34,213.57000000000002 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995836,7. Christines Legacy,WINNER,9.32,4060.8900000000003 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995837,8. Crackerjack Lady,LOSER,2.49,25461.730000000007 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995838,9. Petulant Peg,LOSER,26.00,1607.9700000000003 
1.177442868,2021-01-01 02:40:00,AU,Burrumbeet,R1 1800m Mdn,37995839,10. Seduced By Fame,LOSER,112.02,393.53 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37299246,1. Maxs Source,LOSER,17.00,1729.0100000000004 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996039,2. Hidden Spring,LOSER,5.13,27142.78 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996040,3. Big Bad Boris,LOSER,25.01,1227.8399999999997 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996041,4. Sams A Natural,LOSER,4.90,41864.77000000002 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,24823714,5. Dusty Haze,LOSER,85.00,368.43 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,27532063,6. Beating Drum,WINNER,5.15,9226.259999999993 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996042,7. Mando Rock,LOSER,8.80,5225.970000000001 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37456753,8. Belasyn,LOSER,46.00,875.2 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,28579105,9. Big Talk,LOSER,9.42,3086.4300000000003 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,25503643,10. The Waiting Man,LOSER,21.00,3212.0899999999992 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37585166,11. Whitsunday Lad,REMOVED,,0 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37056522,12. Coalbank Cavalry,REMOVED,,0 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996043,13. Ovidius,REMOVED,,0 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996044,14. Chubascos,REMOVED,,0 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996045,15. Amour Vole,REMOVED,,0 
